0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:47 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:47 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:50 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:54 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:54 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:54 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:54 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/json/data/admin/all/products?_=1687571096398 HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/resources/images/PRD949CDA0588.jpg HTTP/1.1" 200 37027
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/resources/images/PRD9488FF74D3.jpg HTTP/1.1" 200 8477
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/resources/images/PRDFC21A95095.jpg HTTP/1.1" 200 8477
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:44:56 +0000] "GET /medicare/resources/images/PRDE25DC475DA.jpg HTTP/1.1" 200 199423
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:02 +0000] "GET /medicare/manage/1/product HTTP/1.1" 200 11451
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:02 +0000] "GET /medicare/json/data/admin/all/products?_=1687571102650 HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:13 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:13 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:13 +0000] "GET /medicare/json/data/admin/all/products?_=1687571113073 HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:20 +0000] "GET /medicare/manage/product/1/activation HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:27 +0000] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:27 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:30 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:30 +0000] "GET /medicare/ HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:31 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:31 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:33 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7551
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:45:33 +0000] "GET /medicare/json/data/all/products?_=1687571133141 HTTP/1.1" 200 2763
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:46:31 +0000] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [24/Jun/2023:01:47:22 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
